method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	I1_term_word	opt	full	cos	template	sent	0.0	-0.5041647586829415	0.0020521389865869625	0.20413790060305131	0.041672873681474584
CEAT	I1_term_word	opt	full	cos	template	word-average	7.819783199080421e-274	0.059972982482117326	0.0016962112687516297	0.17359931851575855	0.030126832067091665
CEAT	I1_term_word	opt	full	cos	template	word-start	0.0	0.4332141638909843	0.0009421230770939455	0.09291626177664088	0.00864165136415221
CEAT	I1_term_word	opt	full	cos	template	word-end	0.0	-0.3496644485423134	0.002333910772775714	0.23552415996382312	0.05546816926021368
CEAT	I2_name_word	opt	full	cos	template	sent	0.0	0.750933431767062	0.0032721117764867393	0.3314684028253876	0.10985371298463663
CEAT	I2_name_word	opt	full	cos	template	word-average	0.0	0.9329201293568871	0.00327935517735123	0.32335099465259776	0.10456147163502867
CEAT	I2_name_word	opt	full	cos	template	word-start	0.0	0.8701246693262242	0.00465127271248301	0.44625949767556244	0.19916654770208625
CEAT	I2_name_word	opt	full	cos	template	word-end	0.0	0.8954088029458359	0.0024952145315533087	0.24236547660281418	0.058748379425831096
CEAT	I2_term_word	opt	full	cos	template	sent	0.0	-0.26662651507156027	0.002201107148797956	0.21739402992917436	0.047262724645700055
CEAT	I2_term_word	opt	full	cos	template	word-average	0.0	0.1269026395061414	0.0019096897748185932	0.1962537948541444	0.038499844995140996
CEAT	I2_term_word	opt	full	cos	template	word-start	0.0	0.6086279751700502	0.0013985230232495933	0.13893397336094662	0.01930551299777566
CEAT	I2_term_word	opt	full	cos	template	word-end	0.0	-0.2041123023005601	0.0022955862487320103	0.23240995205365317	0.054010695748210644
